model,tool,benchmark,parameter,score,weight,weighted_score,note
claude-opus-4-8,ralph,personal-blog-scaffold,Human-in-the-loop validation experience,4,5,0.2,"Cline-as-extension; the operator can refine RALPH_TASK.md / PLAN.md in the same chat without restarting (driver property, identical across models, matching this tool's simple/complex cells). Anchor 4."
claude-opus-4-8,ralph,personal-blog-scaffold,Autonomous capacity,5,5,0.25,Headless loop + budget intelligence + per-iteration commit + TASK_GUTTER fallback. Anchor 5.
claude-opus-4-8,ralph,personal-blog-scaffold,Runtime integration & ergonomics,3,5,0.15,Loop harness with an in-IDE Cline driver. Anchor 3.
claude-opus-4-8,ralph,personal-blog-scaffold,Code-review / hand-off review surface,4,5,0.2,"PLAN.md committed to git with a readable section convention + TASK_COMPLETE sentinel, but no strict validator. Anchor 4."
claude-opus-4-8,opencode,personal-blog-scaffold,Artifact completeness,2,7,0.14,"Single OPENCODE_PLAN.md (proposal/design/tasks/test-plan as numbered sections); one file, not a split artefact set. Anchor 2."
claude-opus-4-8,opencode,personal-blog-scaffold,Requirement traceability,2,10.5,0.21,No requirement IDs; greenfield bench has no Jira/external ACs to bind to (unlike the complex bench where opencode reached 4). Anchor 2.
claude-opus-4-8,opencode,personal-blog-scaffold,Task granularity,5,7,0.35,"28 numbered one-task-per-file tasks, PR-sized. Anchor 5."
claude-opus-4-8,opencode,personal-blog-scaffold,Test-plan coverage,4,10.5,0.42,"Strong global §4 test plan (categories A-I, ~25 assertions citing real dist/ fixtures + a tests/build-output.test.mjs runner) but essentially no per-task test linkage. Anchor 4."
claude-opus-4-8,opencode,personal-blog-scaffold,Code-reference accuracy,5,7,0.35,"28 declared paths fully consistent ([lang] param, content path, hello-world sample, articles/index all cohere). Anchor 5."
claude-opus-4-8,opencode,personal-blog-scaffold,MCP / external-source integration,3,7,0.21,GitHub-MCP read of the pinned greenfield repo; no rich external source on this bench. Anchor 3.
claude-opus-4-8,opencode,personal-blog-scaffold,Reproducibility (artifact persistence),4,7,0.28,OPENCODE_PLAN.md gits cleanly but has no strict CLI validator. Anchor 4.
claude-opus-4-8,opencode,personal-blog-scaffold,Latency to ready-to-implement,5,3.5,0.175,Planning-leg wall 118s (2.0 min) < 10 min. Anchor 5.
claude-opus-4-8,opencode,personal-blog-scaffold,Token / API cost,2,3.5,0.07,Planning-leg provider cost $2.98 (cache-inclusive 694k-tok session; opencode session-export / backfill figure). Anchor 2 ($2-5).
claude-opus-4-8,opencode,personal-blog-scaffold,Hand-off friction to implementation,5,7,0.35,opencode run consumes the plan headlessly; single-command hand-off. Anchor 5.
claude-opus-4-8,opencode,personal-blog-scaffold,Tool licensing & accessibility,5,5,0.25,Fully open-source single binary; BYOK to any supported provider; no licensing layer. Anchor 5.
claude-opus-4-8,opencode,personal-blog-scaffold,Learning curve / time-to-productivity,3,5,0.15,Single-binary install + per-bench opencode.json mental model. Anchor 3.
claude-opus-4-8,opencode,personal-blog-scaffold,Human-in-the-loop validation experience,2,5,0.1,Headless opencode run; revision requires re-invocation; no clarifying-question card (both models). Anchor 2.
claude-opus-4-8,opencode,personal-blog-scaffold,Autonomous capacity,2,5,0.1,Headless mode exists but no built-in budget intelligence / gutter fallback in this study's config. Anchor 2.
claude-opus-4-8,opencode,personal-blog-scaffold,Runtime integration & ergonomics,3,5,0.15,"Native single-binary runtime with its own MCP picker, run from a helper script (no in-IDE chat panel). Anchor 3."
claude-opus-4-8,opencode,personal-blog-scaffold,Code-review / hand-off review surface,4,5,0.2,"OPENCODE_PLAN.md committed to git, readable structure, but no strict validator. Anchor 4."
